Nr.;BLZ;Institut;Ort;RZ;Organisation;HBCI-Zugang DNS;HBCI- Zugang     IP-Adresse;HBCI-Version;DDV;RDH-1;RDH-2;RDH-3;RDH-4;RDH-5;RDH-6;RDH-7;RDH-8;RDH-9;RDH-10;RAH-7;RAH-9;RAH-10;PIN/TAN-Zugang URL;Version;Datum letzte énderung;;;;;
509;25151270;Stadtsparkasse Barsinghausen;Barsinghausen;Finanz Informatik GmbH & Co. KG;DSGV;banking-ni2.s-fints-pt-ni.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-ni2.s-fints-pt-ni.de/fints30;FinTS V3.0;09.07.2016;;;;;
510;25151371;Stadtsparkasse Burgdorf;Burgdorf;Finanz Informatik GmbH & Co. KG;DSGV;banking-ni2.s-fints-pt-ni.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-ni2.s-fints-pt-ni.de/fints30;FinTS V3.0;09.07.2016;;;;;
511;25152375;Kreissparkasse Walsrode;Walsrode;Finanz Informatik GmbH & Co. KG;DSGV;banking-ni3.s-fints-pt-ni.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-ni3.s-fints-pt-ni.de/fints30;FinTS V3.0;09.07.2016;;;;;
512;25152490;Stadtsparkasse Wunsdorf;Wunstorf;Finanz Informatik GmbH & Co. KG;DSGV;banking-ni2.s-fints-pt-ni.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-ni2.s-fints-pt-ni.de/fints30;FinTS V3.0;09.07.2016;;;;;
513;25190001;Hannoversche Volksbank eG;Hannover, Garbsen;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;06.06.2015;;;;;
514;25193331;Volksbank Hildesheim-Lehrte-Pattensen eG;Hildesheim-Lehrte-Pattensen;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;14.11.2015;;;;;
515;25250001;Kreissparkasse Peine;Peine;Finanz Informatik GmbH & Co. KG;DSGV;banking-ni2.s-fints-pt-ni.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-ni2.s-fints-pt-ni.de/fints30;FinTS V3.0;09.07.2016;;;;;
516;25450110;Sparkasse Hameln-Weserbergland;Hameln;Finanz Informatik GmbH & Co. KG;DSGV;banking-ni2.s-fints-pt-ni.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-ni2.s-fints-pt-ni.de/fints30;FinTS V3.0;20.08.2016;;;;;
517;25451345;Stadtsparkasse Bad Pyrmont;Bad Pyrmont;Finanz Informatik GmbH & Co. KG;DSGV;banking-ni2.s-fints-pt-ni.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-ni2.s-fints-pt-ni.de/fints30;FinTS V3.0;09.07.2016;;;;;
518;25462160;Volksbank Hameln-Stadthagen eG;Hameln-Pyrmont;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstÅtzt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.10.2016;;;;;
519;25462680;Volksbank am Ith eG;CoppenbrÅgge;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstÅtzt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
520;25470024;Deutsche Bank Privat und GeschÑftskunden;Hameln;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
521;25470024;Deutsche Bank Privat und GeschÑftskunden;Bad Pyrmont;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
522;25470073;Deutsche Bank;Hameln;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
523;25471024;Deutsche Bank Privat und GeschÑftskunden;Rinteln;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
524;25471073;Deutsche Bank;Rinteln;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
525;25491273;Volksbank Aerzen eG;Aerzen;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstÅtzt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
526;25551480;Sparkasse Schaumburg;Schaumburg;Finanz Informatik GmbH & Co. KG;DSGV;banking-ni2.s-fints-pt-ni.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-ni2.s-fints-pt-ni.de/fints30;FinTS V3.0;09.07.2016;;;;;
527;25591413;Volksbank in Schaumburg eG;Rinteln;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstÅtzt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;12.09.2013;;;;;
528;25650106;Sparkasse Nienburg;Nienburg;Finanz Informatik GmbH & Co. KG;DSGV;banking-ni3.s-fints-pt-ni.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-ni3.s-fints-pt-ni.de/fints30;FinTS V3.0;09.07.2016;;;;;
529;25651325;Kreissparkasse Grafschaft Diepholz;Diepholz;Finanz Informatik GmbH & Co. KG;DSGV;banking-ni1.s-fints-pt-ni.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-ni1.s-fints-pt-ni.de/fints30;FinTS V3.0;09.07.2016;;;;;
530;25663584;Volksbank Aller-Weser eG;Hoya-Verden;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstÅtzt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;27.04.2018;;;;;
531;25690009;Volksbank Nienburg eG;Nienburg;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstÅtzt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;21.10.2017;;;;;
532;25691633;Volksbank eG Sulingen ;Sulingen;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstÅtzt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;16.06.2018;;;;;
533;25750001;Sparkasse Celle;Celle;Finanz Informatik GmbH & Co. KG;DSGV;banking-ni2.s-fints-pt-ni.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-ni2.s-fints-pt-ni.de/fints30;FinTS V3.0;09.07.2016;;;;;
534;25770024;Deutsche Bank Privat und GeschÑftskunden;Celle;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
535;25770069;Deutsche Bank;Celle;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
536;25791635;Volksbank eG SÅdheide-Isenhagener Land-Altmark;Celle;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;21.07.2018;;;;;
537;25850110;Sparkasse Uelzen LÅchow-Dannenberg;Uelzen;Finanz Informatik GmbH & Co. KG;DSGV;banking-ni3.s-fints-pt-ni.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-ni3.s-fints-pt-ni.de/fints30;FinTS V3.0;09.07.2016;;;;;
538;25851660;Kreissparkasse Soltau;Soltau;Finanz Informatik GmbH & Co. KG;DSGV;banking-ni3.s-fints-pt-ni.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-ni3.s-fints-pt-ni.de/fints30;FinTS V3.0;09.07.2016;;;;;
539;25861990;Volksbank Clenze-Hitzacker eG;Clenze-Hitzacker;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstÅtzt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
540;25862292;Volksbank Uelzen-Bevensen eG;Uelzen-Bevensen;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstÅtzt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
541;25863489;Volksbank Osterburg-LÅchow-Dannenberg eG;Osterburg-Wendland;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstÅtzt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.07.2017;;;;;
542;25891636;Volksbank LÅneburger Heide eG;LÅneburger Heide ;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;05.05.2015;;;;;
543;25940033;Commerzbank;Hildesheim;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
544;25950130;Sparkasse Hildesheim;Hildesheim;Finanz Informatik GmbH & Co. KG;DSGV;banking-ni2.s-fints-pt-ni.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-ni2.s-fints-pt-ni.de/fints30;FinTS V3.0;09.07.2016;;;;;
545;25970024;Deutsche Bank Privat und GeschÑftskunden;Hildesheim;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
546;25970074;Deutsche Bank;Hildesheim;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
547;25971024;Deutsche Bank Privat und GeschÑftskunden;Alfeld (Leine);eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
548;25971024;Deutsche Bank Privat und GeschÑftskunden;Gronau (Leine);eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
549;25971071;Deutsche Bank;Alfeld (Leine);eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
550;25971071;Deutsche Bank;Gronau (Leine);eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
551;25991528;Volksbank Hildesheimer Bîrde eG;Hildesheim;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstÅtzt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
552;26040030;Commerzbank;Gîttingen;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
553;26050001;Sparkasse Gîttingen;Gîttingen;Finanz Informatik GmbH & Co. KG;DSGV;banking-ni2.s-fints-pt-ni.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-ni2.s-fints-pt-ni.de/fints30;FinTS V3.0;09.07.2016;;;;;
554;26051260;Sparkasse Duderstadt;Duderstadt;Finanz Informatik GmbH & Co. KG;DSGV;banking-ni2.s-fints-pt-ni.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-ni2.s-fints-pt-ni.de/fints30;FinTS V3.0;09.07.2016;;;;;
555;26051450;Sparkasse MÅnden;MÅnden;Finanz Informatik GmbH & Co. KG;DSGV;banking-ni2.s-fints-pt-ni.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-ni2.s-fints-pt-ni.de/fints30;FinTS V3.0;09.07.2016;;;;;
556;26061291;Volksbank Mitte eG;Duderstadt;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstÅtzt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;08.09.2018;;;;;
557;26061556;Volksbank Adelebsen eG;Adelebsen;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstÅtzt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
558;26062433;VR-Bank in SÅdniedersachsen;Dransfeld;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstÅtzt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;16.09.2017;;;;;
559;26070024;Deutsche Bank Privat und GeschÑftskunden;Gîttingen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
560;26070024;Deutsche Bank Privat und GeschÑftskunden;Northeim;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
561;26070072;Deutsche Bank;Gîttingen;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
562;26070072;Deutsche Bank;Northeim;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
563;26240039;Commerzbank;Northeim;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
564;26240039;Commerzbank;Einbeck;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
565;26250001;Kreissparkasse Northeim;Northeim;Finanz Informatik GmbH & Co. KG;DSGV;banking-ni2.s-fints-pt-ni.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-ni2.s-fints-pt-ni.de/fints30;FinTS V3.0;09.07.2016;;;;;
566;26251425;Sparkasse Einbeck;Einbeck;Finanz Informatik GmbH & Co. KG;DSGV;banking-ni2.s-fints-pt-ni.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-ni2.s-fints-pt-ni.de/fints30;FinTS V3.0;09.07.2016;;;;;
567;26261396;Volksbank Dassel eG;Dassel;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstÅtzt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
568;26261492;Volksbank Einbeck eG;Einbeck;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstÅtzt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
569;26261693;Volksbank Solling eG;Solling;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstÅtzt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
570;26271424;Deutsche Bank Privat und GeschÑftskunden;Einbeck;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
571;26271471;Deutsche Bank;Einbeck;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
572;26340056;Commerzbank;Osterode ;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
573;26341072;Commerzbank;Herzberg ;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
574;26351015;Sparkasse Osterode am Harz;Osterode am Harz;Finanz Informatik GmbH & Co. KG;DSGV;banking-ni2.s-fints-pt-ni.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-ni2.s-fints-pt-ni.de/fints30;FinTS V3.0;09.07.2016;;;;;
575;26351445;Stadtsparkasse Bad Sachsa;Bad Sachsa;Finanz Informatik GmbH & Co. KG;DSGV;banking-ni2.s-fints-pt-ni.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-ni2.s-fints-pt-ni.de/fints30;FinTS V3.0;09.07.2016;;;;;
576;26540070;Commerzbank;OsnabrÅck;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
577;26540070;Commerzbank;Dissen ;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
578;26550105;Sparkasse OsnabrÅck;OsnabrÅck;Finanz Informatik GmbH & Co. KG;DSGV;banking-ni3.s-fints-pt-ni.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-ni3.s-fints-pt-ni.de/fints30;FinTS V3.0;09.07.2016;;;;;
579;26551540;Kreissparkasse BersenbrÅck;BersenbrÅck;Finanz Informatik GmbH & Co. KG;DSGV;banking-ni3.s-fints-pt-ni.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-ni3.s-fints-pt-ni.de/fints30;FinTS V3.0;09.07.2016;;;;;
580;26552286;Kreissparkasse Melle;Melle;Finanz Informatik GmbH & Co. KG;DSGV;banking-ni3.s-fints-pt-ni.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-ni3.s-fints-pt-ni.de/fints30;FinTS V3.0;09.07.2016;;;;;
581;26562490;Volksbank Melle-Borgloh eG;Melle;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstÅtzt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
582;26563960;Volksbank Bramgau eG im OsnabrÅcker Land;Bramgau;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstÅtzt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
583;26565928;Volksbank GeorgsmarienhÅtte-Hagen eG;GeorgsmarienhÅtte;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstÅtzt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
584;26567943;VR-Bank eG im Altkreis BersenbrÅck;Grafeld-Nortrup;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstÅtzt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.09.2018;;;;;
585;26567943;RVB Grafeld-Nortup eG;Neuenkirchen, Grafeld-Nortup;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstÅtzt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
586;26570024;Deutsche Bank Privat und GeschÑftskunden;OsnabrÅck;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
587;26570024;Deutsche Bank Privat und GeschÑftskunden;Bad Iburg;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
588;26570024;Deutsche Bank Privat und GeschÑftskunden;Bramsche;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
589;26570024;Deutsche Bank Privat und GeschÑftskunden;GeorgsmarienhÅtte;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
590;26570024;Deutsche Bank Privat und GeschÑftskunden;Lengerich;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
591;26570024;Deutsche Bank Privat und GeschÑftskunden;Melle;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
592;26570024;Deutsche Bank Privat und GeschÑftskunden;QuakenbrÅck;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
593;26570090;Deutsche Bank;OsnabrÅck;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
594;26570090;Deutsche Bank;GeorgsmarienhÅtte;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
595;26570090;Deutsche Bank;Bramsche;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
596;26570090;Deutsche Bank;Bad Iburg;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
597;26570090;Deutsche Bank;Lengerich;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
598;26570090;Deutsche Bank;Melle;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
599;26570090;Deutsche Bank;QuakenbrÅck;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
600;26590025;Volksbank OsnabrÅck eG;OsnabrÅck;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstÅtzt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
601;26640049;Commerzbank;Meppen;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
602;26640049;Commerzbank;Lingen ;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
603;26650001;Sparkasse Emsland;Meppen;Finanz Informatik GmbH & Co. KG;DSGV;banking-ni3.s-fints-pt-ni.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-ni3.s-fints-pt-ni.de/fints30;FinTS V3.0;09.07.2016;;;;;
604;26660060;Volksbank Lingen eG;Lingen ;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstÅtzt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
605;26661380;Volksbank HaselÅnne eG;HaselÅnne;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstÅtzt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
606;26661494;EmslÑndische Volksbank eG;Geeste;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstÅtzt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
607;26662932;Volksbank Lengerich eG;Lengerich;Fiducia & GAD IT AG;BVR;hbci.gad.de;nicht unterstÅtzt;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;22.05.2013;;;;;
608;26740044;Commerzbank;Nordhorn;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
609;26750001;Kreissparkasse Grafschaft Bentheim zu Nordhorn;Nordhorn;Finanz Informatik GmbH & Co. KG;DSGV;banking-ni3.s-fints-pt-ni.de;nicht unterstÅtzt;3.0;ja;;;;;;;;;;;ja;;;https://banking-ni3.s-fints-pt-ni.de/fints30;FinTS V3.0;09.07.2016;;;;;
610;26770024;Deutsche Bank Privat und GeschÑftskunden;Nordhorn;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
611;26770024;Deutsche Bank Privat und GeschÑftskunden;Lingen (Ems);eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
612;26770024;Deutsche Bank Privat und GeschÑftskunden;Meppen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
613;26770024;Deutsche Bank Privat und GeschÑftskunden;SchÅttorf;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015;;;;;
