Nr.	BLZ	BIC	Institut	Ort	RZ	Organisation	HBCI-Zugang DNS	HBCI- Zugang     IP-Adresse	HBCI-Version	DDV	RDH-1	RDH-2	RDH-3	RDH-4	RDH-5	RDH-6	RDH-7	RDH-8	RDH-9	RDH-10	RAH-7	RAH-9	RAH-10	PIN/TAN-Zugang URL	Version	Datum letzte Änderung
735	28470024	DEUTDEDB284	Deutsche Bank Privat und Geschäftskunden	Emden	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
736	28470024	DEUTDEDB284	Deutsche Bank Privat und Geschäftskunden	Aurich	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
737	28470024	DEUTDEDB284	Deutsche Bank Privat und Geschäftskunden	Norden	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
738	28470024	DEUTDEDB284	Deutsche Bank Privat und Geschäftskunden	Norderney	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
739	28470091	DEUTDEHB284	Deutsche Bank	Emden	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
740	28470091	DEUTDEHB284	Deutsche Bank	Aurich	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
741	28470091	DEUTDEHB284	Deutsche Bank	Norden	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
742	28470091	DEUTDEHB284	Deutsche Bank	Norderney	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
743	28540034	COBADEFFXXX	Commerzbank	Leer	eigenes Rechenzentrum	BdB	hbci.commerzbank.de		3.0		ja	ja	ja		ja			ja	ja	ja						11/15/10
744	28550000	BRLADE21LER	Sparkasse LeerWittmund	Leer-Weener-Wittmund	Finanz Informatik GmbH & Co. KG	DSGV	banking-ni1.s-fints-pt-ni.de	nicht unterstützt	3.0	ja											ja			https://banking-ni1.s-fints-pt-ni.de/fints30	FinTS V3.0	7/9/16
745	28562297	GENODEF1UPL	Raiffeisen-Volksbank Uplengen-Remels eG	Uplengen-Remels	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
746	28562716	GENODEF1WEF	Raiffeisenbank Flachsmeer eG	Flachsmeer	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
747	28562863	GENODEF1HTL	Spar- und Darlehnskasse Holtland eG	Holtland	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
748	28563749	GENODEF1MML	Raiffeisenbank Moormerland eG	Moormerland	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
749	28570024	DEUTDEDB285	Deutsche Bank Privat und Geschäftskunden	Leer (Ostfriesland)	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
750	28570024	DEUTDEDB285	Deutsche Bank Privat und Geschäftskunden	Papenburg	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
751	28570024	DEUTDEDB285	Deutsche Bank Privat und Geschäftskunden	Weener	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
752	28570092	DEUTDEHB285	Deutsche Bank	Leer (Ostfriesland)	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
753	28570092	DEUTDEHB285	Deutsche Bank	Papenburg	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
754	28570092	DEUTDEHB285	Deutsche Bank	Weener	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
