Nr.	BLZ	BIC	Institut	Ort	RZ	Organisation	HBCI-Zugang DNS	HBCI- Zugang     IP-Adresse	HBCI-Version	DDV	RDH-1	RDH-2	RDH-3	RDH-4	RDH-5	RDH-6	RDH-7	RDH-8	RDH-9	RDH-10	RAH-7	RAH-9	RAH-10	PIN/TAN-Zugang URL	Version	Datum letzte Änderung
2926	70169168	GENODEF1RIW	VR-Bank Chiemgau-Süd -alt-	Ruhpolding	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
2927	70169186	GENODEF1ODZ	Raiffeisenbank Pfaffenhofen a d Glonn	Odelzhausen	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
2928	70169190	GENODEF1GKT	Raiffeisenbank Tattenh-Großkarolinenf	Großkarolinenfeld	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
2929	70169191	GENODEF1TEI	Raiffeisenbank Rupertiwinkel	Teisendorf	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
2930	70169195	GENODEF1TRU	Raiffeisenbank Trostberg-Traunreut	Traunreut	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
2931	70169310	GENODEF1ALX	Raiffeisenbank Alxing-Bruck	Bruck, Oberbay	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
2932	70169331	GENODEF1SSB	Raiffeisenbank südöstl. Starnberger See	Seeshaupt	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
2933	70169333	GENODEF1EUR	Raiffeisenbank Beuerberg-Eurasburg	Eurasburg b Wolfratshausen	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
2934	70169351	GENODEF1ELB	Raiffeisenbank Nordkreis Landsberg	Egling a.d.Paar	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
2935	70169356	GENODEF1EDR	Raiffeisenbank Erding	Erding	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
2936	70169382	GENODEF1GIL	Raiffeisenbank	Gilching	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
2937	70169383	GENODEF1GMU	Raiffeisenbank Gmund am Tegernsee	Gmund a. Tegernsee	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
2938	70169388	GENODEF1HMA	Raiffeisenbank Haag-Gars-Maitenbeth	Haag i.OB	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
2939	70169410	GENODEF1HZO	Raiffeisenbank Holzkirchen-Otterfing	Holzkirchen, Oberbay	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
2940	70169413	GENODEF1HUA	Raiffeisenbank Singoldtal	Hurlach, Oberbay	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
2941	70169450	GENODEF1ASG	Raiffeisen-Volksbank Ebersberg	Grafing b. München	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
2942	70169459	GENODEF1MTW	Raiffeisenbank	Mittenwald	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
2943	70169460	GENODEF1MOO	Raiffeisenbank Westkreis Fürstenfeldbruck	Moorenweis	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
2944	70169464	GENODEF1M07	Genossenschaftsbank München	München	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
2945	70169465	GENODEF1M08	Raiffeisenbank München-Nord	Unterschleißheim	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
2946	70169466	GENODEF1M03	Raiffeisenbank München-Süd	München	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
2947	70169474	GENODEF1NSV	Raiffbk Neumarkt-St. Veit - Niederbergkirchen	Neumarkt-Sankt Veit	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
2948	70169476	GENODEF1NBK	Raiffeisenbank -alt-	Niederbergkirchen	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
2949	70169493	GENODEF1OBS	Raiffeisenbank Oberschleißheim	Oberschleißheim	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
2950	70169509	GENODEF1PEI	Raiffeisenbank Pfaffenwinkel	Peiting	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
2951	70169521	GENODEF1RIG	Raiffeisenbank Raisting	Raisting, Oberbay	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
2952	70169524	GENODEF1RME	Raiffeisenbank RSA	Rechtmehring	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
2953	70169530	GENODEF1RWZ	Raiffeisenbank Reischach-Wurmannsquick-Zeilarn	Reischach, Kr Altötting	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
2954	70169538	GENODEF1SWO	Raiffeisenbank St. Wolfgang-Schwindkirchen	Sankt Wolfgang	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
2955	70169541	GENODEF1THG	Raiffeisenbank Lech-Ammersee	Vilgertshofen	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
2956	70169543	GENODEF1HHS	Raiffeisenbank Isar-Loisachtal	Wolfratshausen	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
2957	70169558	GENODEF1SGA	Raiffeisenbank	Steingaden, Oberbay	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
2958	70169566	GENODEF1TAV	VR-Bank Taufkirchen-Dorfen	Taufkirchen (Vils)	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
2959	70169568	GENODEF1TAE	Raiffeisenbank Taufkirchen-Oberneukirchen	Oberneukirchen	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
2960	70169571	GENODEF1DTZ	Raiffeisenbank Tölzer Land	Bad Tölz	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
2961	70169575	GENODEF1TRH	Raiffeisenbank	Türkheim, Wertach	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
2962	70169576	GENODEF1TUS	Raiffeisen-Volksbank	Tüßling	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
2963	70169585	GENODEF1UNS	Raiffeisenbank Unterschleißheim-Haimhn -alt-	Unterschleißheim	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
2964	70169598	GENODEF1MIB	Raiffeisenbank im Oberland eG	Miesbach,Tölz	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	9/23/17
2965	70169599	GENODEF1WEI	Raiffeisenbank Weil u Umgebung	Weil, Kr Landsberg a Lech	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
2966	70169602	GENODEF1WM1	Raiffeisenbank Weilheim	Weilheim i. OB	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
2967	70169605	GENODEF1ISE	Raiffeisen-Volksbank Isen-Sempt eG	Isen, Oberbay	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	9/9/17
2968	70169614	GENODEF1FSR	Freisinger Bank Volksbank-Raiffeisenbank	Freising, Oberbay	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
2969	70169619	GENODEF1ZOR	Raiffeisenbank Zorneding	Zorneding	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
2970	70169653	GENODEF1AIG	Raiffeisenbank Aiglsbach	Aiglsbach	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
2971	70169693	GENODEF1RHT	Raiffeisenbank Hallertau	Rudelzhausen	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
2972	70190000	GENODEF1M01	Münchner Bank	München	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
2973	70220200	BHFBDEFF700	BHF-Bank AG	München	Bank-Verlag GmbH	BdB	hbciserver.bankverlag.de	nicht unterstützt	3.0		ja		ja		ja									https://www.bv-activebanking.de/hbciTunnel/hbciTransfer.jsp	FinTS V3.0	2/24/08
2974	70230600	ISBKDEFXMUN	Isbank AG	Frankfurt am Main	Bank-Verlag	BdB			3.0															https://www.bv-activebanking.de/hbciTunnel/hbciTransfer.jsp	FinTS V3.0	10/1/18
2975	70250150	BYLADEM1KMS	Kreissparkasse München Starnberg Ebersberg	München-Starnberg	Finanz Informatik GmbH & Co. KG	DSGV	banking-by3.s-fints-pt-by.de	nicht unterstützt	3.0	ja											ja			https://banking-by3.s-fints-pt-by.de/fints30	FinTS V3.0	7/9/16
2976	70320090	HYVEDEMM654	UniCredit Bank - HypoVereinsbank AG	Garmisch-Partenkirchen	eigenes Rechenzentrum	BdB	hbci.hypovereinsbank.de		3.0		ja		ja		ja				ja	ja		ja	ja	https://hbci-01.hypovereinsbank.de/bank/hbci	FinTS V3.0	8/21/15
2977	70320090	HYVEDEMM654	UniCredit Bank - HypoVereinsbank AG	Grainau	eigenes Rechenzentrum	BdB	hbci.hypovereinsbank.de		3.0		ja		ja		ja				ja	ja		ja	ja	https://hbci-01.hypovereinsbank.de/bank/hbci	FinTS V3.0	8/21/15
2978	70320090	HYVEDEMM654	UniCredit Bank - HypoVereinsbank AG	Mittenwald	eigenes Rechenzentrum	BdB	hbci.hypovereinsbank.de		3.0		ja		ja		ja				ja	ja		ja	ja	https://hbci-01.hypovereinsbank.de/bank/hbci	FinTS V3.0	8/21/15
2979	70320090	HYVEDEMM654	UniCredit Bank - HypoVereinsbank AG	Oberammergau	eigenes Rechenzentrum	BdB	hbci.hypovereinsbank.de		3.0		ja		ja		ja				ja	ja		ja	ja	https://hbci-01.hypovereinsbank.de/bank/hbci	FinTS V3.0	8/21/15
2980	70321194	HYVEDEMM466	UniCredit Bank - HypoVereinsbank AG	Weilheim i. OB	eigenes Rechenzentrum	BdB	hbci.hypovereinsbank.de		3.0		ja		ja		ja				ja	ja		ja	ja	https://hbci-01.hypovereinsbank.de/bank/hbci	FinTS V3.0	8/21/15
2981	70322192	HYVEDEMM664	UniCredit Bank - HypoVereinsbank AG	Murnau a. Staffelsee	eigenes Rechenzentrum	BdB	hbci.hypovereinsbank.de		3.0		ja		ja		ja				ja	ja		ja	ja	https://hbci-01.hypovereinsbank.de/bank/hbci	FinTS V3.0	8/21/15
2982	70350000	BYLADEM1GAP	Kreissparkasse Garmisch-Partenkirchen	Garmisch-Partenkirchen	Finanz Informatik GmbH & Co. KG	DSGV	banking-by2.s-fints-pt-by.de	nicht unterstützt	3.0	ja											ja			https://banking-by2.s-fints-pt-by.de/fints30	FinTS V3.0	7/9/16
2983	70351030	BYLADEM1WHM	Vereinigte Sparkasse i. Ldkr. Weilheim	Weilheim	Finanz Informatik GmbH & Co. KG	DSGV	banking-by2.s-fints-pt-by.de	nicht unterstützt	3.0	ja											ja			https://banking-by2.s-fints-pt-by.de/fints30	FinTS V3.0	7/9/16
2984	70362595	GENODEF1WAK	Raiffeisenbank Wallgau-Krün	Wallgau	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
2985	70390000	GENODEF1GAP	VR-Bank im Landkreis Garmisch-Partenkirchen	Garmisch-Partenkirchen	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
2986	70391800	GENODEF1PZB	Volksbank-Raiffeisenbank Penzberg	Penzberg	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
2987	71020072	HYVEDEMM410	UniCredit Bank - HypoVereinsbank AG	Bad Reichenhall	eigenes Rechenzentrum	BdB	hbci.hypovereinsbank.de		3.0		ja		ja		ja				ja	ja		ja	ja	https://hbci-01.hypovereinsbank.de/bank/hbci	FinTS V3.0	8/21/15
2988	71020072	HYVEDEMM410	UniCredit Bank - HypoVereinsbank AG	Freilassing	eigenes Rechenzentrum	BdB	hbci.hypovereinsbank.de		3.0		ja		ja		ja				ja	ja		ja	ja	https://hbci-01.hypovereinsbank.de/bank/hbci	FinTS V3.0	8/21/15
2989	71020072	HYVEDEMM410	UniCredit Bank - HypoVereinsbank AG	Laufen, Salzach	eigenes Rechenzentrum	BdB	hbci.hypovereinsbank.de		3.0		ja		ja		ja				ja	ja		ja	ja	https://hbci-01.hypovereinsbank.de/bank/hbci	FinTS V3.0	8/21/15
2990	71020072	HYVEDEMM410	UniCredit Bank - HypoVereinsbank AG	Teisendorf	eigenes Rechenzentrum	BdB	hbci.hypovereinsbank.de		3.0		ja		ja		ja				ja	ja		ja	ja	https://hbci-01.hypovereinsbank.de/bank/hbci	FinTS V3.0	8/21/15
2991	71020072	HYVEDEMM410	UniCredit Bank - HypoVereinsbank AG	Berchtesgaden	eigenes Rechenzentrum	BdB	hbci.hypovereinsbank.de		3.0		ja		ja		ja				ja	ja		ja	ja	https://hbci-01.hypovereinsbank.de/bank/hbci	FinTS V3.0	8/21/15
2992	71021270	HYVEDEMM629	UniCredit Bank - HypoVereinsbank AG	Neuötting	eigenes Rechenzentrum	BdB	hbci.hypovereinsbank.de		3.0		ja		ja		ja				ja	ja		ja	ja	https://hbci-01.hypovereinsbank.de/bank/hbci	FinTS V3.0	8/21/15
2993	71021270	HYVEDEMM629	UniCredit Bank - HypoVereinsbank AG	Altötting	eigenes Rechenzentrum	BdB	hbci.hypovereinsbank.de		3.0		ja		ja		ja				ja	ja		ja	ja	https://hbci-01.hypovereinsbank.de/bank/hbci	FinTS V3.0	8/21/15
2994	71021270	HYVEDEMM629	UniCredit Bank - HypoVereinsbank AG	Burgkirchen a.d.Alz	eigenes Rechenzentrum	BdB	hbci.hypovereinsbank.de		3.0		ja		ja		ja				ja	ja		ja	ja	https://hbci-01.hypovereinsbank.de/bank/hbci	FinTS V3.0	8/21/15
2995	71021270	HYVEDEMM629	UniCredit Bank - HypoVereinsbank AG	Tittmoning	eigenes Rechenzentrum	BdB	hbci.hypovereinsbank.de		3.0		ja		ja		ja				ja	ja		ja	ja	https://hbci-01.hypovereinsbank.de/bank/hbci	FinTS V3.0	8/21/15
2996	71021270	HYVEDEMM629	UniCredit Bank - HypoVereinsbank AG	Eggenfelden	eigenes Rechenzentrum	BdB	hbci.hypovereinsbank.de		3.0		ja		ja		ja				ja	ja		ja	ja	https://hbci-01.hypovereinsbank.de/bank/hbci	FinTS V3.0	8/21/15
2997	71022182	HYVEDEMM453	UniCredit Bank - HypoVereinsbank AG	Traunstein, Oberbay	eigenes Rechenzentrum	BdB	hbci.hypovereinsbank.de		3.0		ja		ja		ja				ja	ja		ja	ja	https://hbci-01.hypovereinsbank.de/bank/hbci	FinTS V3.0	8/21/15
2998	71022182	HYVEDEMM453	UniCredit Bank - HypoVereinsbank AG	Marquartstein	eigenes Rechenzentrum	BdB	hbci.hypovereinsbank.de		3.0		ja		ja		ja				ja	ja		ja	ja	https://hbci-01.hypovereinsbank.de/bank/hbci	FinTS V3.0	8/21/15
2999	71022182	HYVEDEMM453	UniCredit Bank - HypoVereinsbank AG	Trostberg	eigenes Rechenzentrum	BdB	hbci.hypovereinsbank.de		3.0		ja		ja		ja				ja	ja		ja	ja	https://hbci-01.hypovereinsbank.de/bank/hbci	FinTS V3.0	8/21/15
3000	71022182	HYVEDEMM453	UniCredit Bank - HypoVereinsbank AG	Waging a. See	eigenes Rechenzentrum	BdB	hbci.hypovereinsbank.de		3.0		ja		ja		ja				ja	ja		ja	ja	https://hbci-01.hypovereinsbank.de/bank/hbci	FinTS V3.0	8/21/15
3001	71022182	HYVEDEMM453	UniCredit Bank - HypoVereinsbank AG	Traunreut	eigenes Rechenzentrum	BdB	hbci.hypovereinsbank.de		3.0		ja		ja		ja				ja	ja		ja	ja	https://hbci-01.hypovereinsbank.de/bank/hbci	FinTS V3.0	8/21/15
3002	71023173	HYVEDEMM632	UniCredit Bank - HypoVereinsbank AG	Burghausen, Salzach	eigenes Rechenzentrum	BdB	hbci.hypovereinsbank.de		3.0		ja		ja		ja				ja	ja		ja	ja	https://hbci-01.hypovereinsbank.de/bank/hbci	FinTS V3.0	8/21/15
3003	71050000	BYLADEM1BGL	Sparkasse Berchtesgadener Land	Berchtesgadener Land	Finanz Informatik GmbH & Co. KG	DSGV	banking-by2.s-fints-pt-by.de	nicht unterstützt	3.0	ja											ja			https://banking-by2.s-fints-pt-by.de/fints30	FinTS V3.0	7/9/16
3004	71052050	BYLADEM1TST	Kreissparkasse Traunstein-Trostberg	Traunstein-Trostberg	Finanz Informatik GmbH & Co. KG	DSGV	banking-by2.s-fints-pt-by.de	nicht unterstützt	3.0	ja											ja			https://banking-by2.s-fints-pt-by.de/fints30	FinTS V3.0	7/9/16
3005	71061009	GENODEF1AOE	VR I meine Raiffeisenbank	Altötting	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
3006	71061009	GENODEF1AOE	VR I meine Raiffeisenbank eG	Altötting	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	6/17/17
3007	71062802	GENODEF1AGE	Raiffeisenbank	Anger b Bad Reichenhall	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
3008	71090000	GENODEF1BGL	Volksbank Raiffeisenbank Oberbayern Südost	Bad Reichenhall	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
3009	71120077	HYVEDEMM448	UniCredit Bank - HypoVereinsbank AG	Rosenheim, Oberbay	eigenes Rechenzentrum	BdB	hbci.hypovereinsbank.de		3.0		ja		ja		ja				ja	ja		ja	ja	https://hbci-01.hypovereinsbank.de/bank/hbci	FinTS V3.0	8/21/15
3010	71120077	HYVEDEMM448	UniCredit Bank - HypoVereinsbank AG	Brannenburg	eigenes Rechenzentrum	BdB	hbci.hypovereinsbank.de		3.0		ja		ja		ja				ja	ja		ja	ja	https://hbci-01.hypovereinsbank.de/bank/hbci	FinTS V3.0	8/21/15
3011	71120077	HYVEDEMM448	UniCredit Bank - HypoVereinsbank AG	Bad Aibling	eigenes Rechenzentrum	BdB	hbci.hypovereinsbank.de		3.0		ja		ja		ja				ja	ja		ja	ja	https://hbci-01.hypovereinsbank.de/bank/hbci	FinTS V3.0	8/21/15
3012	71120077	HYVEDEMM448	UniCredit Bank - HypoVereinsbank AG	Miesbach	eigenes Rechenzentrum	BdB	hbci.hypovereinsbank.de		3.0		ja		ja		ja				ja	ja		ja	ja	https://hbci-01.hypovereinsbank.de/bank/hbci	FinTS V3.0	8/21/15
3013	71120077	HYVEDEMM448	UniCredit Bank - HypoVereinsbank AG	Prien a. Chiemsee	eigenes Rechenzentrum	BdB	hbci.hypovereinsbank.de		3.0		ja		ja		ja				ja	ja		ja	ja	https://hbci-01.hypovereinsbank.de/bank/hbci	FinTS V3.0	8/21/15
3014	71120077	HYVEDEMM448	UniCredit Bank - HypoVereinsbank AG	Wasserburg a. Inn	eigenes Rechenzentrum	BdB	hbci.hypovereinsbank.de		3.0		ja		ja		ja				ja	ja		ja	ja	https://hbci-01.hypovereinsbank.de/bank/hbci	FinTS V3.0	8/21/15
3015	71120077	HYVEDEMM448	UniCredit Bank - HypoVereinsbank AG	Kolbermoor	eigenes Rechenzentrum	BdB	hbci.hypovereinsbank.de		3.0		ja		ja		ja				ja	ja		ja	ja	https://hbci-01.hypovereinsbank.de/bank/hbci	FinTS V3.0	8/21/15
3016	71120078	HYVEDEMM644	UniCredit Bank - HypoVereinsbank AG	Rottach-Egern	eigenes Rechenzentrum	BdB	hbci.hypovereinsbank.de		3.0		ja		ja		ja				ja	ja		ja	ja	https://hbci-01.hypovereinsbank.de/bank/hbci	FinTS V3.0	8/21/15
3017	71120078	HYVEDEMM644	UniCredit Bank - HypoVereinsbank AG	Bad Wiessee	eigenes Rechenzentrum	BdB	hbci.hypovereinsbank.de		3.0		ja		ja		ja				ja	ja		ja	ja	https://hbci-01.hypovereinsbank.de/bank/hbci	FinTS V3.0	8/21/15
3018	71120078	HYVEDEMM644	UniCredit Bank - HypoVereinsbank AG	Gmund a. Tegernsee	eigenes Rechenzentrum	BdB	hbci.hypovereinsbank.de		3.0		ja		ja		ja				ja	ja		ja	ja	https://hbci-01.hypovereinsbank.de/bank/hbci	FinTS V3.0	8/21/15
3019	71120078	HYVEDEMM644	UniCredit Bank - HypoVereinsbank AG	Schliersee	eigenes Rechenzentrum	BdB	hbci.hypovereinsbank.de		3.0		ja		ja		ja				ja	ja		ja	ja	https://hbci-01.hypovereinsbank.de/bank/hbci	FinTS V3.0	8/21/15
3020	71120078	HYVEDEMM644	UniCredit Bank - HypoVereinsbank AG	Tegernsee	eigenes Rechenzentrum	BdB	hbci.hypovereinsbank.de		3.0		ja		ja		ja				ja	ja		ja	ja	https://hbci-01.hypovereinsbank.de/bank/hbci	FinTS V3.0	8/21/15
3021	71121176	HYVEDEMM438	UniCredit Bank - HypoVereinsbank AG	Mühldorf a. Inn	eigenes Rechenzentrum	BdB	hbci.hypovereinsbank.de		3.0		ja		ja		ja				ja	ja		ja	ja	https://hbci-01.hypovereinsbank.de/bank/hbci	FinTS V3.0	8/21/15
3022	71121176	HYVEDEMM438	UniCredit Bank - HypoVereinsbank AG	Töging a. Inn	eigenes Rechenzentrum	BdB	hbci.hypovereinsbank.de		3.0		ja		ja		ja				ja	ja		ja	ja	https://hbci-01.hypovereinsbank.de/bank/hbci	FinTS V3.0	8/21/15
3023	71121176	HYVEDEMM438	UniCredit Bank - HypoVereinsbank AG	Ampfing	eigenes Rechenzentrum	BdB	hbci.hypovereinsbank.de		3.0		ja		ja		ja				ja	ja		ja	ja	https://hbci-01.hypovereinsbank.de/bank/hbci	FinTS V3.0	8/21/15
3024	71122183	HYVEDEMM457	UniCredit Bank - HypoVereinsbank AG	Waldkraiburg	eigenes Rechenzentrum	BdB	hbci.hypovereinsbank.de		3.0		ja		ja		ja				ja	ja		ja	ja	https://hbci-01.hypovereinsbank.de/bank/hbci	FinTS V3.0	8/21/15
3025	71140041	COBADEFFXXX	Commerzbank	Rosenheim, Oberbayern	eigenes Rechenzentrum	BdB	hbci.commerzbank.de		3.0		ja	ja	ja		ja			ja	ja	ja						11/15/10
3026	71141041	COBADEFFXXX	Commerzbank	Mühldorf 	eigenes Rechenzentrum	BdB	hbci.commerzbank.de		3.0		ja	ja	ja		ja			ja	ja	ja						11/15/10
